batch,username,tenant_id,action,prompt_state,run_count,rerun_status,remark,screenshot,checked_at
Batch5,odl_user_2227495@otuwacne104054.onmicrosoft.com,a985cbb7-88f9-4098-817b-17a0801f2665,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:28:35
Batch5,odl_user_2227500@otuwacne104057.onmicrosoft.com,291cd7a8-1ce2-416e-805c-737118443110,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:29:51
Batch5,odl_user_2227501@otuwacne104058.onmicrosoft.com,13abbd0e-d7f3-46b2-8914-d99c3e4f0cff,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:29:58
Batch5,odl_user_2227503@otuwacne104061.onmicrosoft.com,381c927d-1cc2-4121-9356-a8353138f1fe,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:30:32
Batch5,odl_user_2227502@otuwacne104060.onmicrosoft.com,71264e9d-8293-4fd8-b009-bb3b3af5bc37,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:30:31
Batch5,odl_user_2227508@otuwacne104064.onmicrosoft.com,3c536b65-eb06-4ed7-8faf-1c605ab94428,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:32:44
Batch5,odl_user_2227506@otuwacne104062.onmicrosoft.com,3c4ae842-3499-4b7a-8b1b-aa96a9247b84,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:32:08
Batch5,odl_user_2227825@otuwacne104065.onmicrosoft.com,a8b6ff49-e6cc-4ef1-8fda-115562db64c2,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:32:21
Batch5,odl_user_2227331@otuwamsb105220.onmicrosoft.com,otuwamsb105220.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:33:00
Batch5,odl_user_2227321@otuwamsb105211.onmicrosoft.com,otuwamsb105211.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:34:03
Batch5,odl_user_2227507@otuwacne104063.onmicrosoft.com,88f61366-25a3-4be2-8bc3-587b96d8155a,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:32:16
Batch5,odl_user_2227322@otuwamsb105212.onmicrosoft.com,otuwamsb105212.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:34:03
Batch5,odl_user_2227324@otuwamsb105214.onmicrosoft.com,otuwamsb105214.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:35:33
Batch5,odl_user_2227342@otuwamsb105226.onmicrosoft.com,otuwamsb105226.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:34:02
Batch5,odl_user_2227325@otuwamsb105215.onmicrosoft.com,otuwamsb105215.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:36:24
Batch5,odl_user_2227323@otuwamsb105213.onmicrosoft.com,otuwamsb105213.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:36:10
Batch5,odl_user_2227335@otuwamsb105222.onmicrosoft.com,otuwamsb105222.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:38:36
Batch5,odl_user_2227343@otuwamsb105228.onmicrosoft.com,otuwamsb105228.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:38:30
Batch5,odl_user_2227345@otuwamsb105229.onmicrosoft.com,otuwamsb105229.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:38:22
Batch5,odl_user_2227332@otuwamsb105221.onmicrosoft.com,otuwamsb105221.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:38:00
Batch5,odl_user_2227346@otuwamsb105230.onmicrosoft.com,otuwamsb105230.onmicrosoft.com,SKIP,COMPLETED,2,SKIPPED_COMPLETED,"Prompt already completed, skipped",,2026-05-26 14:42:14
Batch5,odl_user_2227330@otuwamsb105219.onmicrosoft.com,otuwamsb105219.onmicrosoft.com,STOP_AND_RERUN,RUNNING,0,RERUN_SUCCESS,"Stopped running job (runs=0), rerun submitted",,2026-05-26 14:40:11
Batch5,odl_user_2227327@otuwamsb105217.onmicrosoft.com,otuwamsb105217.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,NO_DATASOURCE,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:42:12
Batch5,odl_user_2227326@otuwamsb105216.onmicrosoft.com,otuwamsb105216.onmicrosoft.com,STOP_AND_RERUN,RUNNING,0,RERUN_SUCCESS,"Stopped running job (runs=0), rerun submitted",,2026-05-26 14:41:20
Batch5,odl_user_2227328@otuwamsb105218.onmicrosoft.com,otuwamsb105218.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:43:49
Batch5,odl_user_2227337@otuwamsb105224.onmicrosoft.com,otuwamsb105224.onmicrosoft.com,STOP_AND_RERUN,RUNNING,0,RERUN_SUCCESS,"Stopped running job (runs=0), rerun submitted",,2026-05-26 14:41:22
Batch5,odl_user_2227339@otuwamsb105225.onmicrosoft.com,otuwamsb105225.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:43:48
Batch5,odl_user_2227336@otuwamsb105223.onmicrosoft.com,otuwamsb105223.onmicrosoft.com,ADD_DATASOURCE_STOP_RERUN,EMPTY,0,DATASOURCE_FAILED,Could not add data sources,,2026-05-26 14:46:24
